epoch,f1-score,iou_score,loss,lr,precision,recall,val_f1-score,val_iou_score,val_loss,val_precision,val_recall
9,0.9549031853675842,0.9137272834777832,0.14155034720897675,0.01,0.9497392177581787,0.9602277874946594,0.9528608918190002,0.9100008606910706,0.14776018261909485,0.9508406519889832,0.9549575448036194
10,0.955040454864502,0.91398024559021,0.14112666249275208,0.01,0.9498870968818665,0.960354208946228,0.9501926302909851,0.9051439166069031,0.1563461422920227,0.9499797224998474,0.9505177736282349
11,0.9550742506980896,0.9140422940254211,0.14103831350803375,0.01,0.9500547647476196,0.9602514505386353,0.9335027933120728,0.875429093837738,0.20758815109729767,0.9391111135482788,0.9282537698745728
12,0.955112099647522,0.9141108989715576,0.1409299075603485,0.01,0.9500375390052795,0.9603447914123535,0.9344759583473206,0.8771890997886658,0.2049366533756256,0.9408159852027893,0.9284661412239075
13,0.9553709626197815,0.9145838022232056,0.14013443887233734,0.01,0.9502880573272705,0.9606106877326965,0.9494761228561401,0.9038520455360413,0.1590023636817932,0.9375706315040588,0.9618068933486938
14,0.955568253993988,0.914945662021637,0.13952817022800446,0.0009999999,0.9500561952590942,0.9612390398979187,0.9538764953613281,0.9118776917457581,0.14447063207626343,0.9495982527732849,0.9582633376121521
15,0.9555299282073975,0.9148750901222229,0.13963717222213745,0.0009999999,0.9505544900894165,0.9606545567512512,0.9552106261253357,0.9142814874649048,0.1403324455022812,0.9516122937202454,0.9588942527770996
16,0.9555848836898804,0.9149760007858276,0.1394553929567337,0.0009999999,0.9506837129592896,0.9606309533119202,0.9549681544303894,0.9138450622558594,0.14147190749645233,0.9507236480712891,0.9593040943145752
17,0.9555747509002686,0.9149571657180786,0.13951218128204346,0.0009999999,0.9506325125694275,0.9606651663780212,0.9536397457122803,0.9114433526992798,0.14516358077526093,0.9528713226318359,0.9544859528541565
18,0.955590546131134,0.9149872064590454,0.13947294652462006,0.0009999999,0.9506862163543701,0.9606431126594543,0.9555460810661316,0.9148954153060913,0.13943588733673096,0.9510923624038696,0.9600904583930969
19,0.9556800127029419,0.9151499271392822,0.13917580246925354,0.0009999999,0.9507021307945251,0.9608067274093628,0.9544679522514343,0.9129317998886108,0.14288726449012756,0.9518777132034302,0.957126259803772
20,0.955707848072052,0.9151990413665771,0.13909807801246643,0.0009999999,0.9508228898048401,0.9607387185096741,0.9544490575790405,0.9129184484481812,0.14279727637767792,0.9496135711669922,0.9594120979309082
21,0.9556249380111694,0.9150490164756775,0.13936017453670502,0.0009999999,0.9507023096084595,0.9606963992118835,0.9554473161697388,0.9147140979766846,0.13966864347457886,0.9512377977371216,0.959741473197937
22,0.9556307792663574,0.9150612950325012,0.139346182346344,0.0009999999,0.9507250785827637,0.960686206817627,0.9545724391937256,0.9131357073783875,0.14248043298721313,0.9498324990272522,0.9594185948371887
23,0.9556974768638611,0.9151797890663147,0.13914547860622406,9.999999e-05,0.9509642720222473,0.9605715870857239,0.954669713973999,0.9133079648017883,0.14225488901138306,0.9506823420524597,0.9587618112564087
24,0.955757200717926,0.9152920246124268,0.13896462321281433,9.999999e-05,0.9509059190750122,0.9607540965080261,0.9558955430984497,0.9155356287956238,0.13842551410198212,0.950257420539856,0.9616459608078003
25,0.9557056427001953,0.9151971936225891,0.13911819458007812,9.999999e-05,0.9507623314857483,0.9607957601547241,0.9540797472000122,0.9122393131256104,0.1440509408712387,0.9496403336524963,0.9586220979690552
26,0.9556514620780945,0.9150975942611694,0.1392676681280136,9.999999e-05,0.9507376551628113,0.9607095718383789,0.9550840854644775,0.9140611290931702,0.14095668494701385,0.9507854580879211,0.9594951868057251
27,0.9556418061256409,0.9150786995887756,0.13932129740715027,9.999999e-05,0.9508236646652222,0.9606079459190369,0.9559322595596313,0.9156011939048767,0.13840427994728088,0.9505869746208191,0.9613794088363647
28,0.9556795954704285,0.9151506423950195,0.13919344544410706,9.999999e-05,0.9508243203163147,0.960680365562439,0.9537975788116455,0.9117266535758972,0.14491479098796844,0.9494433403015137,0.9582540392875671
29,0.9557328820228577,0.91524738073349,0.13903652131557465,9.999999e-06,0.9507700204849243,0.9608414173126221,0.9553149938583374,0.9144785404205322,0.14017876982688904,0.9505695104598999,0.9601801037788391
30,0.9557012915611267,0.9151888489723206,0.1391127109527588,9.999999e-06,0.9509292840957642,0.9606170058250427,0.955696165561676,0.9151678681373596,0.13919956982135773,0.9510632753372192,0.9604192972183228
31,0.9557778239250183,0.9153282642364502,0.1389113813638687,9.999999e-06,0.950981080532074,0.9607185125350952,0.9542075991630554,0.9124826192855835,0.14358043670654297,0.9493193626403809,0.9592174887657166
32,0.9556653499603271,0.9151235818862915,0.13923941552639008,9.999999e-06,0.9507138133049011,0.9607652425765991,0.9550198316574097,0.9139345288276672,0.14112359285354614,0.9502447247505188,0.9599025249481201
33,0.9556302428245544,0.9150594472885132,0.13936451077461243,9.999999e-07,0.9507973194122314,0.9606116414070129,0.9555582404136658,0.914919912815094,0.1396612524986267,0.9509422183036804,0.9602681398391724
34,0.9557174444198608,0.9152173399925232,0.13907502591609955,9.999999e-07,0.9508223533630371,0.9607555270195007,0.9542192816734314,0.9125016927719116,0.14352303743362427,0.9498010277748108,0.9587498307228088
35,0.9555982947349548,0.9149998426437378,0.13945025205612183,9.999999e-07,0.9506944417953491,0.9606475234031677,0.9554279446601868,0.9146812558174133,0.13984344899654388,0.9502761960029602,0.9606945514678955
36,0.9556258916854858,0.9150494337081909,0.13937076926231384,9.999999e-07,0.9507625102996826,0.9606307744979858,0.9551258683204651,0.9141332507133484,0.1410096287727356,0.9510712027549744,0.9592680335044861
37,0.9556988477706909,0.915184497833252,0.13912303745746613,9.999999e-08,0.9508202075958252,0.960724413394928,0.9542348384857178,0.9125261902809143,0.14349490404129028,0.9494560956954956,0.9591326713562012
